date,total_cases,new_cases,neighborhood,lat,long
3/1/2020,0,0,Charlottenburg-Wilmersdorf,52.5053,13.26
3/2/2020,0,0,Charlottenburg-Wilmersdorf,52.5053,13.26
3/3/2020,0,0,Charlottenburg-Wilmersdorf,52.5053,13.26
3/4/2020,0,0,Charlottenburg-Wilmersdorf,52.5053,13.26
3/5/2020,0,0,Charlottenburg-Wilmersdorf,52.5053,13.26
3/6/2020,2,2,Charlottenburg-Wilmersdorf,52.5053,13.26
3/7/2020,3,1,Charlottenburg-Wilmersdorf,52.5053,13.26
3/8/2020,9,6,Charlottenburg-Wilmersdorf,52.5053,13.26
3/9/2020,9,0,Charlottenburg-Wilmersdorf,52.5053,13.26
3/10/2020,13,4,Charlottenburg-Wilmersdorf,52.5053,13.26
3/11/2020,15,2,Charlottenburg-Wilmersdorf,52.5053,13.26
3/12/2020,23,8,Charlottenburg-Wilmersdorf,52.5053,13.26
3/13/2020,31,8,Charlottenburg-Wilmersdorf,52.5053,13.26
3/14/2020,47,16,Charlottenburg-Wilmersdorf,52.5053,13.26
3/15/2020,54,7,Charlottenburg-Wilmersdorf,52.5053,13.26
3/16/2020,54,0,Charlottenburg-Wilmersdorf,52.5053,13.26
3/17/2020,57,3,Charlottenburg-Wilmersdorf,52.5053,13.26
3/18/2020,81,24,Charlottenburg-Wilmersdorf,52.5053,13.26
3/1/2020,0,0,Friedrichshain-Kreuzberg,52.4996,13.4314
3/2/2020,0,0,Friedrichshain-Kreuzberg,52.4996,13.4314
3/3/2020,0,0,Friedrichshain-Kreuzberg,52.4996,13.4314
3/4/2020,2,2,Friedrichshain-Kreuzberg,52.4996,13.4314
3/5/2020,4,2,Friedrichshain-Kreuzberg,52.4996,13.4314
3/6/2020,4,0,Friedrichshain-Kreuzberg,52.4996,13.4314
3/7/2020,4,0,Friedrichshain-Kreuzberg,52.4996,13.4314
3/8/2020,5,1,Friedrichshain-Kreuzberg,52.4996,13.4314
3/9/2020,9,4,Friedrichshain-Kreuzberg,52.4996,13.4314
3/10/2020,12,3,Friedrichshain-Kreuzberg,52.4996,13.4314
3/11/2020,12,0,Friedrichshain-Kreuzberg,52.4996,13.4314
3/12/2020,14,2,Friedrichshain-Kreuzberg,52.4996,13.4314
3/13/2020,14,0,Friedrichshain-Kreuzberg,52.4996,13.4314
3/14/2020,22,8,Friedrichshain-Kreuzberg,52.4996,13.4314
3/15/2020,30,8,Friedrichshain-Kreuzberg,52.4996,13.4314
3/16/2020,33,3,Friedrichshain-Kreuzberg,52.4996,13.4314
3/17/2020,40,7,Friedrichshain-Kreuzberg,52.4996,13.4314
3/18/2020,60,20,Friedrichshain-Kreuzberg,52.4996,13.4314
3/1/2020,0,0,Lichtenberg,52.5336,13.4999
3/2/2020,0,0,Lichtenberg,52.5336,13.4999
3/3/2020,0,0,Lichtenberg,52.5336,13.4999
3/4/2020,0,0,Lichtenberg,52.5336,13.4999
3/5/2020,0,0,Lichtenberg,52.5336,13.4999
3/6/2020,0,0,Lichtenberg,52.5336,13.4999
3/7/2020,0,0,Lichtenberg,52.5336,13.4999
3/8/2020,0,0,Lichtenberg,52.5336,13.4999
3/9/2020,1,1,Lichtenberg,52.5336,13.4999
3/10/2020,1,0,Lichtenberg,52.5336,13.4999
3/11/2020,5,4,Lichtenberg,52.5336,13.4999
3/12/2020,6,1,Lichtenberg,52.5336,13.4999
3/13/2020,6,0,Lichtenberg,52.5336,13.4999
3/14/2020,8,2,Lichtenberg,52.5336,13.4999
3/15/2020,8,0,Lichtenberg,52.5336,13.4999
3/16/2020,12,4,Lichtenberg,52.5336,13.4999
3/17/2020,16,4,Lichtenberg,52.5336,13.4999
3/18/2020,21,5,Lichtenberg,52.5336,13.4999
3/1/2020,0,0,Marzahn-Hellersdorf,52.5229,13.5766
3/2/2020,1,1,Marzahn-Hellersdorf,52.5229,13.5766
3/3/2020,1,0,Marzahn-Hellersdorf,52.5229,13.5766
